Flux Density (Jy/b),REDSHIFT
0.00085,1.8414000272750900
-0.0011,1.6991000175476100
0.03262,1.6532000303268400
0.00002,1.768399953842160
-0.00028,1.9198999404907200
-0.00004,2.005500078201290
0.00101,1.732200026512150
0.00007,1.7585999965667700
-0.00024,1.876099944114690
-0.00035,1.7015000581741300
0.00009,1.94760000705719
-0.00024,1.7869000434875500
0.00047,1.8544000387191800
0.00037,1.9462000131607100
-0.00002,2.046299934387210
0.00069,1.9336999654769900
-0.00079,2.010999917984010
-0.0002,1.7984000444412200
0.0005,1.864400029182430
0.00021,2.0237998962402300
-0.00045,2.023200035095220
-0.00014,1.687600016593930
0.46322,1.7092000246048000
0.00011,1.9220999479293800
-0.00043,1.9372999668121300
0.00037,1.7390999794006300
-0.00024,1.698699951171880
-0.00005,1.6799999475479100
-0.00048,1.7782000303268400
-0.00044,1.7378000020980800
-0.00072,1.8737000226974500
-0.0002,1.972599983215330
0.00291,1.8752000331878700
-0.0004,1.69350004196167
-0.00011,1.7108999490737900
0.00034,2.031599998474120
-0.00029,1.9570000171661400
-0.00068,1.7364000082016000
0.00223,1.8365000486373900
-0.00054,1.9048999547958400
0.00037,1.8964999914169300
0.0006,1.8711999654769900
0.00013,1.8422000408172600
-0.00018,1.7144999504089400
0.00036,2.023400068283080
0,1.9534000158309900
-0.00048,1.805999994277950
0.00044,1.7538000345230100
0.00055,1.9495999813079800
-0.00004,1.794700026512150
0.00087,1.9336999654769900
-0.00118,2.0501999855041500
-0.00068,1.9444999694824200
0.00005,1.651900053024290
-0.0003,1.8035999536514300
0.00027,1.941499948501590
0.00087,1.6591999530792200
0.0006,2.0596001148223900
-0.00031,1.9754999876022300
-0.00023,1.8420000076293900
0.00096,1.7828999757766700
-0.00055,1.9404000043869000
0.00545,1.9473999738693200
-0.00007,1.7407000064849900
0.00204,1.9848999977111800
0.00056,1.7348999977111800
0.00124,1.9775999784469600
0.00073,1.9122999906539900
0.00062,2.008699893951420
-0.00032,1.7962000370025600
-0.00004,2.050100088119510
0.00098,1.7798999547958400
0.00062,1.7961000204086300
0.00004,1.7704999446868900
-0.00027,1.8327000141143800
-0.00021,1.7473000288009600
0.00047,1.9455000162124600
-0.00036,1.971500039100650
0.00001,1.8939000368118300
0.00043,1.773800015449520
-0.00028,2.0171000957489000
-0.00018,1.9462000131607100
0.00024,1.8544000387191800
